id	rank	title	authors	year	venue	layer	recency	status	local	pdf_url	pedra_hook
R001	1	The Log-Structured Merge-Tree (LSM-Tree)	O'Neil, Cheng, Gawlick, O'Neil	1996	Acta Informatica	engine	canonical	listed		https://www.cs.umb.edu/~poneil/lsmtree.pdf	definition of the tree Pedra is
R002	2	Bigtable: A Distributed Storage System for Structured Data	Chang et al.	2006	OSDI / TOCS 2008	dist	canonical	listed		https://research.google.com/archive/bigtable-osdi06.pdf	tablet = range + local log; ancestor of Rocks
R003	3	Dynamo: Amazon's Highly Available Key-Value Store	DeCandia et al.	2007	SOSP	dist	canonical	listed		https://www.allthingsdistributed.com/files/amazon-dynamo-sosp2007.pdf	AP contrast; Pedra is CP
R004	4	bLSM: a general purpose log structured merge tree	Sears, Ramakrishnan	2012	SIGMOD	engine	canonical	listed		https://www.cs.umb.edu/~poneil/	bloom + scheduling ancestor
R005	5	WiscKey: Separating Keys from Values in SSD-conscious Storage	Lu, Arpaci-Dusseau, Arpaci-Dusseau	2016	FAST	engine	canonical	ficha	docs/references/wisckey-fast2016.pdf	https://www.usenix.org/system/files/conference/fast16/fast16-papers-lu.pdf	vlog; GC still open
R006	6	Monkey: Optimal Navigable Key-Value Store	Dayan, Athanassoulis, Idreos	2017	SIGMOD	engine	canonical	have-pdf	docs/references/monkey-sigmod2017.pdf	https://stratos.seas.harvard.edu/files/stratos/files/monkeykeyvaluestore.pdf	non-uniform Bloom FPR
R007	7	Dostoevsky: Better Space-Time Trade-Offs for LSM-Tree Based Key-Value Stores	Dayan, Idreos	2018	SIGMOD	engine	canonical	have-pdf	docs/references/dostoevsky-sigmod2018.pdf		Lazy Leveling; explicit non-ship
R008	8	PebblesDB: Building Key-Value Stores using Fragmented Log-Structured Merge Trees	Raju, Kadekodi, Chidambaram, Abraham	2017	SOSP	engine	canonical	listed		https://www.cs.utexas.edu/~vijay/papers/sosp17-pebblesdb.pdf	guards; WA cut without full rewrite
R009	9	Characterizing, Modeling, and Benchmarking RocksDB Key-Value Workloads at Facebook	Cao, Dong, Vemuri, Du	2020	FAST	engine	recent	listed		https://www.usenix.org/system/files/fast20-cao_zhichao.pdf	real key/value size mix; our benches must not be only 16 B
R010	10	Evolution of Development Priorities in Key-value Stores Serving Large-scale Applications: The RocksDB Experience	Dong, Kryczka, Jin, Stumm	2021	FAST	engine	recent	listed		https://www.usenix.org/system/files/fast21-dong.pdf	incumbent we are measured against
R011	11	LSM-based Storage Techniques: A Survey	Luo, Carey	2020	ACM CSUR	engine	recent	listed		https://arxiv.org/pdf/1812.07527	pre-2020 map; pair with R039
R012	12	Constructing and Analyzing the LSM Compaction Design Space	Sarkar, Staratzis, Zhu, Athanassoulis	2021	VLDB	engine	recent	listed		https://www.vldb.org/pvldb/vol14/p2216-sarkar.pdf	when / which / how much / layout
R013	13	Spooky: Granulating LSM-Tree Compactions Correctly	Dayan, Weiss, Dashevsky, Pan, Bortnikov, Twitto	2022	VLDB	engine	recent	listed		https://www.vldb.org/pvldb/vol15/p3071-dayan.pdf	file-granular compact without SA blowup
R014	14	Endure: A Robust Tuning Paradigm for LSM Trees Under Workload Uncertainty	Huynh, Chaudhari, Terzi, Athanassoulis	2022	VLDB	engine	recent	listed		https://www.vldb.org/pvldb/vol15/p1605-huynh.pdf	robust > point-optimal knobs
R015	15	Towards flexibility and robustness of LSM trees	Huynh et al.	2024	VLDBJ	engine	recent	listed		https://link.springer.com/content/pdf/10.1007/s00778-023-00826-9.pdf	journal extension of Endure
R016	16	ADOC: Automatically Harmonizing Dataflow Between Components in Log-Structured Key-Value Stores	Yu, Noh, Choi, Xue	2023	FAST	engine	recent	listed		https://www.usenix.org/system/files/fast23-yu.pdf	stall = dataflow (threads, batch)
R017	17	SILK: Preventing Latency Spikes in Log-Structured Merge Key-Value Stores	Balmau, Dinu, Zwaenepoel et al.	2019	ATC	engine	canonical	listed		https://www.usenix.org/system/files/atc19-balmau.pdf	pacing; named stall reasons
R018	18	HashKV: Enabling Efficient Updates in KV Storage via Hashing	Chan, Li, Lee, Xu	2018	ATC	engine	canonical	listed		https://www.usenix.org/system/files/conference/atc18/atc18-chan.pdf	vlog GC locality
R019	19	From WiscKey to Bourbon: A Learned Index for Log-Structured Merge Trees	Dai, Xu, Ganesan et al.	2020	OSDI	engine	recent	listed		https://www.usenix.org/system/files/osdi20-dai.pdf	learned SST index; likely refuse
R020	20	Chucky: A Succinct Cuckoo Filter for LSM-Tree	Dayan, Twitto	2021	SIGMOD	ds	recent	listed			filter smaller than Bloom
